transcription,hypothesis,confusion,score
i d like to see jacksonville daily progress saga,i do like to see jacksonville daily progressed saga,i i ; d do ; like like ; to to ; see see ; jacksonville jacksonville ; daily daily ; progress progressed ; saga saga,1.0
weather for south williamsport,weather for south williamsport,weather weather ; for for ; south south ; williamsport williamsport,1.0
add the track to the comedy new releases playlist,at the track to the comedy new releases play list,add at ; the the ; track track ; to to ; the the ; comedy comedy ; new new ; releases releases ; <eps> play ; playlist list,1.0
add a track to my alok house party playlist,add attract too my alec house party play list,add add ; a <eps> ; track attract ; to too ; my my ; alok alec ; house house ; party party ; <eps> play ; playlist list,1.0
add nazad  nazad  kalino mome to escapada,i <unk> to escapade huh,add <eps> ; nazad <eps> ; nazad i ; kalino <unk> ; mome to ; to escapade ; escapada huh,1.0
open lastfm and play hot lips page from the sixties,i  've been <unk> lips page from the sixties,open <eps> ; lastfm i ; and 've ; play been ; hot <unk> ; lips lips ; page page ; from from ; the the ; sixties sixties,1.0
is it hotter now in hicks,is it harder now in hicks,is is ; it it ; hotter harder ; now now ; in in ; hicks hicks,1.0
what time is roy colt & winchester jack playing at movie house,what time is really cold and winchester jack playing it movie house,what what ; time time ; is is ; roy really ; colt cold ; & and ; winchester winchester ; jack jack ; playing playing ; at it ; movie movie ; house house,1.0
book a restaurant in the marshall islands for two people,the <unk> the restaurant in the <unk> the two people,<eps> the ; book <unk> ; a the ; restaurant restaurant ; in in ; the the ; marshall <eps> ; islands <unk> ; for the ; two two ; people people,1.0
i want cocco added to my post metal playlist,i won cocoa added to my post metal plate list,i i ; want won ; cocco cocoa ; added added ; to to ; my my ; post post ; metal metal ; <eps> plate ; playlist list,1.0
will there be snowfall in ky,will they be snowfall in <unk>,will will ; there they ; be be ; snowfall snowfall ; in in ; ky <unk>,1.0
give 3 / 6 stars to doctor in the house,give three <unk> her in the house,give give ; 3 <eps> ; / <eps> ; 6 <eps> ; stars three ; to <unk> ; doctor her ; in in ; the the ; house house,1.0
rate current album five,rate current album fine,rate rate ; current current ; album album ; five fine,1.0
add elkie brooks to happy birthday playlist,hi <unk>,add <eps> ; elkie <eps> ; brooks <eps> ; to <eps> ; happy <eps> ; birthday hi ; playlist <unk>,1.0
will it be cold close-by iowa on september twenty-first  2025,well it  'd be cold close by iowa on september twenty first twenty twenty five,will well ; it it ; <eps> 'd ; be be ; cold cold ; <eps> close ; close-by by ; iowa iowa ; on on ; september september ; <eps> twenty ; <eps> first ; <eps> twenty ; twenty-first twenty ; 2025 five,1.0
play music by paul mccartney,play music hi paul mccartney,play play ; music music ; by hi ; paul paul ; mccartney mccartney,1.0
which cinema can i go to to see lilly the witch: the dragon and the magic book,which seen him i can i go to see the which the dragon and the magic books,which which ; <eps> seen ; <eps> him ; cinema i ; can can ; i i ; go go ; to <eps> ; to to ; see see ; lilly <eps> ; the the ; witch: which ; the the ; dragon dragon ; and and ; the the ; magic magic ; book books,1.0
give me the schedule for animated movies at the nearest cinema,give me the schedule for animated movies at the nearest cinema,give give ; me me ; the the ; schedule schedule ; for for ; animated animated ; movies movies ; at at ; the the ; nearest nearest ; cinema cinema,1.0
can i see the encounters,can only see the encounters,can can ; i only ; see see ; the the ; encounters encounters,1.0
show me the nearest movie house showing he won a ranch,show me the nearest movie house showing he won a ranch,show show ; me me ; the the ; nearest nearest ; movie movie ; house house ; showing showing ; he he ; won won ; a a ; ranch ranch,1.0
give the whisperer a rating of 0,give the whisper writing of zero,give give ; the the ; whisperer <eps> ; a whisper ; rating writing ; of of ; 0 zero,1.0
where can i find the song red back fever,where can i find a song read back fever,where where ; can can ; i i ; find find ; the a ; song song ; red read ; back back ; fever fever,1.0
what is the nearest movie theatre playing kate y leopold,what is the nearest movie theater playing kate why leopold,what what ; is is ; the the ; nearest nearest ; movie movie ; theatre theater ; playing playing ; kate kate ; y why ; leopold leopold,1.0
what films are going to be playing at harkins theatres at zero a m,what phones are going to be playing at <unk>,what what ; films phones ; are are ; going going ; to to ; be be ; playing playing ; at <eps> ; harkins <eps> ; theatres <eps> ; at at ; zero <eps> ; a <eps> ; m <unk>,1.0
book a popular joint in ocean gate for seven people at elevenses,who could popular joined <unk> seven people it elevens is,book who ; a could ; popular popular ; joint <eps> ; in <eps> ; ocean <eps> ; gate joined ; for <unk> ; seven seven ; people people ; <eps> it ; at elevens ; elevenses is,1.0
find a movie schedule,find a movie schedule,find find ; a a ; movie movie ; schedule schedule,1.0
what movies are playing one hour from now at cooper foundation,what movies are playing one hour from now like cooper foundation,what what ; movies movies ; are are ; playing playing ; one one ; hour hour ; from from ; now now ; at like ; cooper cooper ; foundation foundation,1.0
show me live at the kings center,she only live at the king center,show she ; me only ; live live ; at at ; the the ; kings king ; center center,1.0
show the whispering willows novel,showed the whispering <unk> novel,show showed ; the the ; whispering whispering ; willows <unk> ; novel novel,1.0
please look up for disney universe,please look up for disney universe,please please ; look look ; up up ; for for ; disney disney ; universe universe,1.0
add this song to my classical dance music ballet & beyond list,uh this some to my classical <unk> music ballet and be on the list,add uh ; this this ; song some ; to to ; my my ; classical classical ; dance <unk> ; music music ; ballet ballet ; <eps> and ; <eps> be ; & on ; beyond the ; list list,1.0
book a taverna in wisconsin for 22:54,well <unk> in wisconsin for twenty two fifty four,book <eps> ; a well ; taverna <unk> ; in in ; wisconsin wisconsin ; for for ; <eps> twenty ; <eps> two ; <eps> fifty ; 22:54 four,1.0
play valerij kipelov on vimeo,flavor larry <unk>,play <eps> ; valerij <eps> ; kipelov flavor ; on larry ; vimeo <unk>,1.0
book a best steakhouse for 2 in montserrat on 79 days and a half from now,look at best steak house for two in months a rat on seventy nine days and a half from now,book look ; a at ; best best ; <eps> steak ; steakhouse house ; for for ; 2 two ; in in ; <eps> months ; <eps> a ; montserrat rat ; on on ; <eps> seventy ; 79 nine ; days days ; and and ; a a ; half half ; from from ; now now,1.0
play the best sebastian karlsson melody on youtube,maybe the best sebastian godsend melody on you too,play maybe ; the the ; best best ; sebastian sebastian ; karlsson godsend ; melody melody ; on on ; <eps> you ; youtube too,1.0
play some music on netflix,play some musical net flicks,play play ; some some ; music musical ; on net ; netflix flicks,1.0
i need a reservation for a tea house in maple glen for four people,i need a reservation for it to the housing maple glen for for people,i i ; need need ; a a ; reservation reservation ; for for ; a it ; tea to ; house the ; in housing ; maple maple ; glen glen ; for for ; four for ; people people,1.0
add rock & roll to my playlist named night out,i draw in georgia my painless name night out,add <eps> ; rock i ; & draw ; roll in ; to georgia ; my my ; playlist painless ; named name ; night night ; out out,1.0
what s the weather like in wyandotte netherlands antilles,well that  's the way the <unk>,what <eps> ; s <eps> ; the well ; weather that ; like 's ; in the ; wyandotte way ; netherlands the ; antilles <unk>,1.0
what is the weather forecast in va,what is the weather forecast in v a,what what ; is is ; the the ; weather weather ; forecast forecast ; in in ; <eps> v ; va a,1.0
add vyechnyy strannik to lo que suena new york,ed <unk> pillow case wayne or new york,add <eps> ; vyechnyy ed ; strannik <unk> ; to pillow ; lo case ; que wayne ; suena or ; new new ; york york,1.0
i want to know the films playing at the closest movie house,i want to know the films playing at the closest movie house,i i ; want want ; to to ; know know ; the the ; films films ; playing playing ; at at ; the the ; closest closest ; movie movie ; house house,1.0
look up the baltic times picture,look up to baltic times picture,look look ; up up ; the to ; baltic baltic ; times times ; picture picture,1.0
find the movie everywhere but home,find the movie everywhere but home,find find ; the the ; movie movie ; everywhere everywhere ; but but ; home home,1.0
rate the man who sold the moon a 5,right the man who sold the moon a five,rate right ; the the ; man man ; who who ; sold sold ; the the ; moon moon ; a a ; 5 five,1.0
give the lost world 2 points,give the last well two points,give give ; the the ; lost last ; world well ; 2 two ; points points,1.0
the sins of the cities of the plain gets a rating of one,the sins of the cities of the plane gets a writing of one,the the ; sins sins ; of of ; the the ; cities cities ; of of ; the the ; plain plane ; gets gets ; a a ; rating writing ; of of ; one one,1.0
i give the next textbook a 2,i give the next textbook it too,i i ; give give ; the the ; next next ; textbook textbook ; a it ; 2 too,1.0
what s the forecast for walker bay nature reserve for next year,well that  's the full costs for walking by nature reserved for next year,<eps> well ; what that ; s 's ; the the ; <eps> full ; forecast costs ; for for ; walker walking ; bay by ; nature nature ; reserve reserved ; for for ; next next ; year year,1.0
add chamberlain waits to my picnic in the park,add chamberlain waits to my picnic in the park,add add ; chamberlain chamberlain ; waits waits ; to to ; my my ; picnic picnic ; in in ; the the ; park park,1.0
i d like to eat at a highly rated swiss restaurant in irma at two pm,i d like to eat at a highly rated swiss restaurant <unk> two p m,i i ; d d ; like like ; to to ; eat eat ; at at ; a a ; highly highly ; rated rated ; swiss swiss ; restaurant restaurant ; in <eps> ; irma <unk> ; at two ; two p ; pm m,1.0
i d rate shohola falls a two out of 6,i d rachel whole of falls at two out of six,i i ; d d ; <eps> rachel ; rate whole ; shohola of ; falls falls ; a at ; two two ; out out ; of of ; 6 six,1.0
is salò the tv show available to watch anywhere,is sale of the t v show available to watch anywhere,is is ; <eps> sale ; salò of ; the the ; <eps> t ; tv v ; show show ; available available ; to to ; watch watch ; anywhere anywhere,1.0
play isaac yamma slut,<unk>,play <eps> ; isaac <eps> ; yamma <eps> ; slut <unk>,1.0
the this is kevin johansen playlist needs the lamb lies down on broadway in it,so this is kevin <unk> play list needs the limelight down on broadway and it,the so ; this this ; is is ; kevin kevin ; <eps> <unk> ; johansen play ; playlist list ; needs needs ; the the ; lamb <eps> ; lies limelight ; down down ; on on ; broadway broadway ; in and ; it it,1.0
i want to play the video game called china seas,i want to play the video game called china c  's,i i ; want want ; to to ; play play ; the the ; video video ; game game ; called called ; china china ; <eps> c ; seas 's,1.0
add dying mapa i to más que amigos,ah dying <unk> k amigos,add ah ; dying dying ; mapa <eps> ; i <eps> ; to <eps> ; más <unk> ; que k ; amigos amigos,1.0
will it be warmer in ct,well it  'd be warmer in court,will well ; it it ; <eps> 'd ; be be ; warmer warmer ; in in ; ct court,1.0
rate competitors 2 stars out of 6,right competitors to start out of six,rate right ; competitors competitors ; 2 to ; stars start ; out out ; of of ; 6 six,1.0
will the sky be overcast around jan  28 in ok,where this guy bill the guy stood around january twenty eighteen okay,<eps> where ; <eps> this ; will guy ; the bill ; sky the ; be guy ; overcast stood ; around around ; jan january ; 28 twenty ; in eighteen ; ok okay,1.0
in delanson 1 hour from now reserve a table for four,in <unk> in one hour from now reserve a table for for,in in ; <eps> <unk> ; delanson in ; 1 one ; hour hour ; from from ; now now ; reserve reserve ; a a ; table table ; for for ; four for,1.0
add sarah vaughan to the spa treatment playlist,i  'd say we  're going to the spot treatment <unk>,<eps> i ; <eps> 'd ; <eps> say ; add we ; sarah 're ; vaughan going ; to to ; the the ; spa spot ; treatment treatment ; playlist <unk>,1.0
book a table for 8 people at robinson house,look at <unk>,book <eps> ; a <eps> ; table <eps> ; for <eps> ; 8 <eps> ; people look ; at at ; robinson <eps> ; house <unk>,1.0
i want to hear some psychedelic rock,i want to hear some <unk>,i i ; want want ; to to ; hear hear ; some some ; psychedelic <eps> ; rock <unk>,1.0
play some sonu niigaam from the fifties,<unk> from the fifties,play <eps> ; some <eps> ; sonu <eps> ; niigaam <unk> ; from from ; the the ; fifties fifties,1.0
find return to krondor,for <unk>,find <eps> ; return <eps> ; to for ; krondor <unk>,1.0
add javine hylton to my evening playlist,i <unk>,add <eps> ; javine <eps> ; hylton <eps> ; to <eps> ; my <eps> ; evening i ; playlist <unk>,1.0
is there a snowstorm in the forecast for saint helena,is there a snowstorm and the forecast for st helene,is is ; there there ; a a ; snowstorm snowstorm ; in and ; the the ; forecast forecast ; for for ; saint st ; helena helene,1.0
love in paris needs some frank farian in the playlist,loving paris need some frank <unk> in the play list,love <eps> ; in loving ; paris paris ; needs need ; some some ; frank frank ; farian <unk> ; in in ; the the ; <eps> play ; playlist list,1.0
use pandora to play music from maki onaga from the album made in the nineties,used to play music from <unk> from the album made in the nineties,use <eps> ; pandora used ; to to ; play play ; music music ; from from ; maki <eps> ; onaga <unk> ; from from ; the the ; album album ; made made ; in in ; the the ; nineties nineties,1.0
play larry graham sound track,hi larry gram soundtrack,play hi ; larry larry ; graham <eps> ; sound gram ; track soundtrack,1.0
i would give this current textbook five points or a rating of 6,i would give this current textbook five points or a rating of sakes,i i ; would would ; give give ; this this ; current current ; textbook textbook ; five five ; points points ; or or ; a a ; rating rating ; of of ; 6 sakes,1.0
find wxhexeditor,fine w <unk>,<eps> fine ; find w ; wxhexeditor <unk>,1.0
i would like to rate this album 3 points and a best rating of 6,i would like to write this album three points and the best writing of sakes,i i ; would would ; like like ; to to ; rate write ; this this ; album album ; 3 three ; points points ; and and ; a the ; best best ; rating writing ; of of ; 6 sakes,1.0
how will the weather be in 11 years from now in the same area of florida,how will the weather bait and eleven years from now in the same area of florida,how how ; will will ; the the ; weather weather ; be bait ; in and ; 11 eleven ; years years ; from from ; now now ; in in ; the the ; same same ; area area ; of of ; florida florida,1.0
add the open door to autumn music,uh <unk>,add <eps> ; the <eps> ; open <eps> ; door <eps> ; to <eps> ; autumn uh ; music <unk>,1.0
find the schedule for across the line at the closest movie house,find a schedule for a cross the line at the closest movie house,find find ; the a ; schedule schedule ; for for ; <eps> a ; across cross ; the the ; line line ; at at ; the the ; closest closest ; movie movie ; house house,1.0
i need to book a table at a place around here in pa for a party of two,i need to look at the table at your place around here in <unk> for the <unk> too,i i ; need need ; to to ; <eps> look ; book at ; a the ; table table ; at at ; a your ; place place ; around around ; here here ; in in ; pa <unk> ; for for ; a <eps> ; party the ; of <unk> ; two too,1.0
play the album wayning moments by rabbit brown,play the album waiting moments by rabbit brown,play play ; the the ; album album ; wayning waiting ; moments moments ; by by ; rabbit rabbit ; brown brown,1.0
play matt walker tunes,play my will kitchens,play play ; matt my ; walker will ; tunes kitchens,1.0
rate the white body of evening  one of 6,right the white body of evening one of six,rate right ; the the ; white white ; body body ; of of ; evening evening ; one one ; of of ; 6 six,1.0
add album to bajo las estrellas,i told them to <unk>,add <eps> ; album i ; to told ; bajo them ; las to ; estrellas <unk>,1.0
find the novel wwe legends of wrestlemania,find the novel w w e legends of wrestle mania,find find ; the the ; novel novel ; <eps> w ; <eps> w ; wwe e ; legends legends ; of of ; <eps> wrestle ; wrestlemania mania,1.0
play the top-twenty from tony calder off slacker,play the top twenty from tony called raw slacker,play play ; the the ; <eps> top ; top-twenty twenty ; from from ; tony tony ; calder called ; off raw ; slacker slacker,1.0
can i get some russian cuisine at a restaurant with shari and i,can i get some rushing cuisine at a restaurant with sherry and i,can can ; i i ; get get ; some some ; russian rushing ; cuisine cuisine ; at at ; a a ; restaurant restaurant ; with with ; shari sherry ; and and ; i i,1.0
i m in the mood to listen to meditative music,i am in the mood to listen to meditate of music,i i ; m am ; in in ; the the ; mood mood ; to to ; listen listen ; to to ; <eps> meditate ; meditative of ; music music,1.0
tell me the weather forecast 1 hour from now for town west  nevada,tell me the weather forecast one hour from now for town west nevada,tell tell ; me me ; the the ; weather weather ; forecast forecast ; 1 one ; hour hour ; from from ; now now ; for for ; town town ; west west ; nevada nevada,1.0
what is the movie schedule at cineplex odeon corporation 12 hours from now,what is the movie schedule it cineplex already incorporation twelve hours from now,what what ; is is ; the the ; movie movie ; schedule schedule ; at it ; cineplex cineplex ; odeon already ; corporation incorporation ; 12 twelve ; hours hours ; from from ; now now,1.0
will it be stormy in deposit,will it be stormy and deposit,will will ; it it ; be be ; stormy stormy ; in and ; deposit deposit,1.0
in 1 week is there going to be a depression in washington,in one week he say going to be a depression in washington,in in ; 1 one ; week week ; is he ; there say ; going going ; to to ; be be ; a a ; depression depression ; in in ; washington washington,1.0
is it going to be cloudy in my current spot for dinner,is it going to be cloudy and my current spot for dinner,is is ; it it ; going going ; to to ; be be ; cloudy cloudy ; in and ; my my ; current current ; spot spot ; for for ; dinner dinner,1.0
weather in bashkirsky nature reserve 20 days from now,i mean <unk> nature was uh twenty days from now,weather i ; in mean ; bashkirsky <unk> ; nature nature ; <eps> was ; reserve uh ; 20 twenty ; days days ; from from ; now now,1.0
rate the book series i  robot one out of 6 stars,read the book series i robot one out of six stars,rate read ; the the ; book book ; series series ; i i ; robot robot ; one one ; out out ; of of ; 6 six ; stars stars,1.0
i rate mosses from an old manse a 0,i write most is from an old man says zero,i i ; <eps> write ; rate most ; mosses is ; from from ; an an ; old old ; manse man ; a says ; 0 zero,1.0
add bonga to the black sabbath the dio years playlist,i do  n't go to the <unk> the deal years played list,<eps> i ; <eps> do ; add n't ; bonga go ; to to ; the the ; black <eps> ; sabbath <unk> ; the the ; dio deal ; years years ; <eps> played ; playlist list,1.0
show creativity of adobe air,show creativity of a doby air,show show ; creativity creativity ; of of ; <eps> a ; adobe doby ; air air,1.0
add sam sparro to my playlist called beach vibes,i  'd say i  'm not really to my <unk>,<eps> i ; add 'd ; sam say ; sparro i ; to 'm ; my not ; playlist really ; called to ; beach my ; vibes <unk>,1.0
play me something from the thirties by candi staton on vimeo,play me something from the thirties by candy staten on video,play play ; me me ; something something ; from from ; the the ; thirties thirties ; by by ; candi candy ; staton staten ; on on ; vimeo video,1.0
my group of seven wants to eat at yogurt mountain in slick tonight,my group of seven wants to eat it yogurt mountain in slick tonight,my my ; group group ; of of ; seven seven ; wants wants ; to to ; eat eat ; at it ; yogurt yogurt ; mountain mountain ; in in ; slick slick ; tonight tonight,1.0
please find me the game called the salvation,please find me the game called the salvation,please please ; find find ; me me ; the the ; game game ; called called ; the the ; salvation salvation,1.0
please make reservations for 4 for the hog fry from the food truck,please make reservations for full for the hope fry from the food truck,please please ; make make ; reservations reservations ; for for ; 4 full ; for for ; the the ; hog hope ; fry fry ; from from ; the the ; food food ; truck truck,1.0
what s the nearest movie theatre showing movies,well that  's the nearest movie theater showing movies,<eps> well ; what that ; s 's ; the the ; nearest nearest ; movie movie ; theatre theater ; showing showing ; movies movies,1.0
at amc theaters what is the movie schedule,and i am see see it as well as the movie schedule,<eps> and ; <eps> i ; <eps> am ; <eps> see ; at see ; amc it ; theaters as ; what well ; is as ; the the ; movie movie ; schedule schedule,1.0
book table to a tavern for a scrapple for harriett  deanne and i,book cable to a tavern for a scrabble for harriet d n n i,book book ; table cable ; to to ; a a ; tavern tavern ; for for ; a a ; scrapple scrabble ; for for ; <eps> harriet ; harriett d ; deanne n ; and n ; i i,1.0
play good pure soul on netflix,play good pure stolen net flicks,play play ; good good ; pure pure ; soul stolen ; on net ; netflix flicks,1.0
please tell me movie times,so he  's telling me movie times,<eps> so ; <eps> he ; please 's ; tell telling ; me me ; movie movie ; times times,1.0
show me half a life,show me half of life,show show ; me me ; half half ; a of ; life life,1.0
will it be cloudy in tatamy,will it be cloudy and to me,will will ; it it ; be be ; cloudy cloudy ; <eps> and ; in to ; tatamy me,1.0
what s the weather in castle at 17:43,what is the weather in constantly at seventeen forty three,what what ; s is ; the the ; weather weather ; in in ; castle constantly ; at at ; <eps> seventeen ; <eps> forty ; 17:43 three,1.0
i give the universe maker a rating of zero,i give the universe maker a rating of zero,i i ; give give ; the the ; universe universe ; maker maker ; a a ; rating rating ; of of ; zero zero,1.0
how is the humidity near my current place,how is the humidity named my car in place,how how ; is is ; the the ; humidity humidity ; near named ; my my ; <eps> car ; current in ; place place,1.0
book a restaurant in delhi arkansas for three people,look at a restaurant in delhi arkansas for three people,<eps> look ; book at ; a a ; restaurant restaurant ; in in ; delhi delhi ; arkansas arkansas ; for for ; three three ; people people,1.0
what is the weather in åland 4 seconds from now,what is the weather in allen four seconds from now,what what ; is is ; the the ; weather weather ; in in ; åland allen ; 4 four ; seconds seconds ; from from ; now now,1.0
what is the weather here,what  's the weather here,what what ; is 's ; the the ; weather weather ; here here,1.0
add yoshiki to the 35 soul classics 1970 to 1975 playlist,how  'd you all she came to the thirty five so classics nineteen seventy to nineteen seventy five pilots,<eps> how ; <eps> 'd ; <eps> you ; <eps> all ; add she ; yoshiki came ; to to ; the the ; <eps> thirty ; 35 five ; soul so ; classics classics ; <eps> nineteen ; 1970 seventy ; to to ; <eps> nineteen ; <eps> seventy ; 1975 five ; playlist pilots,1.0
is there going to be any cloud cover today at mccracken in az,is that going to be any cloud cover today and the <unk>,is is ; there that ; going going ; to to ; be be ; any any ; cloud cloud ; cover cover ; today today ; at <eps> ; mccracken and ; in the ; az <unk>,1.0
i need a movie schedule for any films playing close by,i need a movie schedule for any films playing close by,i i ; need need ; a a ; movie movie ; schedule schedule ; for for ; any any ; films films ; playing playing ; close close ; by by,1.0
what are the movie times for movies close by,what are the movie times for movies close by,what what ; are are ; the the ; movie movie ; times times ; for for ; movies movies ; close close ; by by,1.0
add vl mike to my dcode2016 playlist,i  'd be on mike <unk> twenty sixteen play list,<eps> i ; <eps> 'd ; add be ; vl on ; mike mike ; <eps> <unk> ; to twenty ; my sixteen ; dcode2016 play ; playlist list,1.0
is storm warning playing,you still morning plane,is you ; storm still ; warning morning ; playing plane,1.0
i need a reservation for four at a restaurant in 1 hour and 1 second,i need a reservation for four at a restaurant in one hour in one second,i i ; need need ; a a ; reservation reservation ; for for ; four four ; at at ; a a ; restaurant restaurant ; in in ; 1 one ; hour hour ; and in ; 1 one ; second second,1.0
play joey fatone soundtrack tunes from google music from 1972,played joey atone soundtrack tunes from google music from nineteen seventy two,play played ; joey joey ; fatone atone ; soundtrack soundtrack ; tunes tunes ; from from ; google google ; music music ; from from ; <eps> nineteen ; <eps> seventy ; 1972 two,1.0
what is the weather of sri lanka,what is the weather is <unk>,what what ; is is ; the the ; weather weather ; of <eps> ; sri is ; lanka <unk>,1.0
what will be the wind speed at the current place,what will be the wind speed at the current place,what what ; will will ; be be ; the the ; wind wind ; speed speed ; at at ; the the ; current current ; place place,1.0
give 4 stars to this essay,give <unk>,give give ; 4 <eps> ; stars <eps> ; to <eps> ; this <eps> ; essay <unk>,1.0
show me dombey and son movies,show me dumpy in sun movies,show show ; me me ; dombey dumpy ; and in ; son sun ; movies movies,1.0
put michael cretu onto my beach vibes playlist,with michael gradual onto my beach wife  's play list,put with ; michael michael ; cretu gradual ; onto onto ; my my ; beach beach ; <eps> wife ; <eps> 's ; vibes play ; playlist list,1.0
play a ballad from 1997,play a ballot from nineteen ninety seven,play play ; a a ; ballad ballot ; from from ; <eps> nineteen ; <eps> ninety ; 1997 seven,1.0
find the earth is a sinful song,find the us is a sinful song,find find ; the the ; earth us ; is is ; a a ; sinful sinful ; song song,1.0
add this artist to metal party,at this artist to metal party,add at ; this this ; artist artist ; to to ; metal metal ; party party,1.0
what is the weather forecast for åland,what is the weather forecast for alan,what what ; is is ; the the ; weather weather ; forecast forecast ; for for ; åland alan,1.0
give this series 3 stars,give the series three dogs,give give ; this the ; series series ; 3 three ; stars dogs,1.0
give me the showtimes for the rum diary at mjr theatres at meal time,give me the show times for the run diarrhea and j r theaters at mealtime,give give ; me me ; the the ; <eps> show ; showtimes times ; for for ; the the ; rum run ; diary diarrhea ; at and ; mjr j ; theatres r ; at theaters ; meal at ; time mealtime,1.0
add paloma negra to my funky jams list,i <unk>,add <eps> ; paloma <eps> ; negra <eps> ; to <eps> ; my <eps> ; funky <eps> ; jams i ; list <unk>,1.0
add some martine mccutcheon to my original columbia jazzmasters list,i had some uh team a couch into my original columbia <unk>,<eps> i ; add had ; some some ; <eps> uh ; <eps> team ; martine a ; mccutcheon couch ; to into ; my my ; original original ; columbia columbia ; jazzmasters <eps> ; list <unk>,1.0
rate the natural a 4,right the natural the fall,rate right ; the the ; natural natural ; a the ; 4 fall,1.0
play music from the album evolution of a man by joey ramone,play music from the album evolution of a man by joey ramon,play play ; music music ; from from ; the the ; album album ; evolution evolution ; of of ; a a ; man man ; by by ; joey joey ; ramone ramon,1.0
how is weather here,how is the weather here,how how ; is is ; <eps> the ; weather weather ; here here,1.0
add tune to my is it new wave,i tune into my is it new wave,add i ; tune tune ; to into ; my my ; is is ; it it ; new new ; wave wave,1.0
what is the weather forecast for sunset in bouvet island,what is the weather forecast for sunset in bouvier island,what what ; is is ; the the ; weather weather ; forecast forecast ; for for ; sunset sunset ; in in ; bouvet bouvier ; island island,1.0
rate tragedy day a 4,great tragedy day a fool,rate great ; tragedy tragedy ; day day ; a a ; 4 fool,1.0
find bullet and a target  a television show,find bullet and a target at television show,find find ; bullet bullet ; and and ; a a ; target target ; a at ; television television ; show show,1.0
add another album to my this is pavarotti playlist,i did another album to my this is <unk>,<eps> i ; add did ; another another ; album album ; to to ; my my ; this this ; is is ; pavarotti <eps> ; playlist <unk>,1.0
i need reservations for a party of 3 on all souls  day in temperance  north dakota,i need reservations for a policy of three on <unk>,i i ; need need ; reservations reservations ; for for ; a a ; party policy ; of of ; 3 three ; on on ; all <eps> ; souls <eps> ; day <eps> ; in <eps> ; temperance <eps> ; north <eps> ; dakota <unk>,1.0
play crossroad blues,play cross road blues,play play ; <eps> cross ; crossroad road ; blues blues,1.0
play used to love her to my this is animal collective playlist,they used to love her to my this is animal collective platelets,play they ; used used ; to to ; love love ; her her ; to to ; my my ; this this ; is is ; animal animal ; collective collective ; playlist platelets,1.0
what is the movie schedules for movies in the area,what is the movie scheduled for movies in the area,what what ; is is ; the the ; movie movie ; schedules scheduled ; for for ; movies movies ; in in ; the the ; area area,1.0
rate the promise 1 points,right the promise one points,rate right ; the the ; promise promise ; 1 one ; points points,1.0
for this current saga i give 5 out of 6 possiable points,for this current saga i give five out of six possible points,for for ; this this ; current current ; saga saga ; i i ; give give ; 5 five ; out out ; of of ; 6 six ; possiable possible ; points points,1.0
what time is the mailman playing,what time is the mailman plane,what what ; time time ; is is ; the the ; mailman mailman ; playing plane,1.0
find me nights in harlem,find me nights in harlem,find find ; me me ; nights nights ; in in ; harlem harlem,1.0
the rats of hamelin deserves zero points,the rats of handling deserves a zero points,the the ; rats rats ; of of ; hamelin handling ; deserves deserves ; <eps> a ; zero zero ; points points,1.0
play some chanson music,play some chance on music,play play ; some some ; <eps> chance ; chanson on ; music music,1.0
add fair charlotte to the we everywhere playlist,ads there charlotte to the we everywhere play list,add ads ; fair there ; charlotte charlotte ; to to ; the the ; we we ; everywhere everywhere ; <eps> play ; playlist list,1.0
find the american journal of sports medicine picture,fine the american gentlest sports medicine paycheck,find fine ; the the ; american american ; journal <eps> ; of gentlest ; sports sports ; medicine medicine ; picture paycheck,1.0
will it be chilly 17 hours from now in cold creek conservation area,will it be cheney seventeen hours from now in cold creek conservation area,will will ; it it ; be be ; chilly cheney ; 17 seventeen ; hours hours ; from from ; now now ; in in ; cold cold ; creek creek ; conservation conservation ; area area,1.0
find show-ya 20th anniversary the best,find show ya twentieth anniversary the best,find find ; <eps> show ; show-ya ya ; 20th twentieth ; anniversary anniversary ; the the ; best best,1.0
please get me the before crisis: final fantasy vii television show,please get me before crisis final fantasy <unk> television show,please please ; get get ; me me ; the <eps> ; before before ; crisis: crisis ; final final ; fantasy fantasy ; vii <unk> ; television television ; show show,1.0
rate this novel a two,right <unk> too,rate <eps> ; this <eps> ; novel right ; a <unk> ; two too,1.0
book a restaurant in almyra in 10 years,look at a restaurant now me right in ten years,<eps> look ; book at ; a a ; restaurant restaurant ; <eps> now ; in me ; almyra right ; in in ; 10 ten ; years years,1.0
will it be overcast at 18 o clock in id,well it  'd be i  've accosted eighteen o clock in age,will well ; it it ; <eps> 'd ; be be ; <eps> i ; overcast 've ; at accosted ; 18 eighteen ; o o ; clock clock ; in in ; id age,1.0
what animated movies are playing amc theaters,what the animated movies are playing in sepia does,what what ; <eps> the ; animated animated ; movies movies ; are are ; playing playing ; <eps> in ; amc sepia ; theaters does,1.0
add sara hickman to my targeted list,i <unk> i hate them into my targeted list,<eps> i ; <eps> <unk> ; add i ; sara hate ; hickman them ; to into ; my my ; targeted targeted ; list list,1.0
rate short trips: destination prague five out of 6,rate short trips destination prague five out of six,rate rate ; short short ; trips: trips ; destination destination ; prague prague ; five five ; out out ; of of ; 6 six,1.0
